"id","sentence1","sentence2","similarity"
"a70c8ad3f82ac2967f78fe617","But in the first 30 seconds after Young entered the ring, the family knew it was an uneven match, Meyers said.","But in the first 30 seconds of the bout, family members knew it was an uneven match, Jodie Meyers, Stacy Young's sister, said.",4.2
"e62472eeda1415a3a6cca9e9a","Hundreds of Bangladesh clothes factory workers ill","Hundreds fall sick in Bangladesh factory",4.4
"3b80f4d4302d32366c50a41c6","China on high alert for typhoon Kalmaegi","China issues yellow alert for typhoon Kalmaegi",4
"f497d4e8209b315d273540296","Kroger Co., which owns Ralphs, and Albertsons Inc. bargain jointly with Safeway and locked out their union workers the next day.","In a show of corporate solidarity, Kroger Co., which owns Ralphs, and Albertson Inc. locked out their workers the next morning.",3.8
"72614c3590fe5c74089ef2269","Sobig.F spreads when unsuspecting computer users open file attachments in emails that contain such familiar headings as ""Thank You!,"" ""Re: Details"" or ""Re: That Movie.""","The virus spreads when unsuspecting computer users open file attachments in emails that contain familiar headings like ""Thank You!"" and ""Re: Details"".",4
"57faf6247b1b6026f59ca71f0","Microsoft acquired Virtual PC when it bought the assets of Connectix earlier this year.","Microsoft acquired Virtual PC from its developer, Connectix, earlier this year.",4.4
"299789f0509ba3ef1d808b166","Syrian forces move to retake Aleppo","Syrian Regime Bids To Retake City Of Aleppo",4.4
"8c79eea6b20e1202fca9bacc8","Cisco has signed similar deals with AT&T Corp. T.N , SBC Communications Inc. SBC.N and Sprint Corp. FON.N .","Cisco has similar relationships with BellSouth competitors SBC Communications, AT&T and Sprint Communications.",4
"8db4378a53db9cd05509d4c26","Thousands more Syrian refugees flee to Turkey overnight","8,000 Syrian refugees flee to Turkey overnight",3.8
"36b9e2215efdd2de587092b9e","A man walks his dog on the beach.","A man with his dog on the beach.",4.4
"c1e86791e91d4d540671e607d","Boy Scouts delay decision on admitting gays","Boy Scouts of America delays vote on lifting ban on gays",5
"7a6779ce66ae0cdff310f18bd","It's definitely NOT what it used to be.","voted Voted It's definitely NOT what it used to be.",4
"5241591ed3238d0e1147b3bbc","'Iran will attack Tel Aviv if Israel strikes'","Senior cleric: Iran will attack Tel Aviv if Israel strikes",4.4
"ae971e2708a47b1e2bd7d73b1","The government recently shelved peace talks with the MILF, being brokered by Malaysia, after a string of attacks, including three bombings, on Mindanao.","The government recently shelved peace talks being brokered by neighbouring Malaysia after a spate of attacks on Mindanao, including three deadly bombings, that it blamed on the MILF.",4.25
"6d832e0a87306b04885cc6f36","Boy lying on couch with small white dog.","A small boy laying on a sofa with a dog.",4
"a0ddb1cf663a4d308f31d83a0","A man plays the guitar and sings.","A man is singing and playing a guitar.",5
"e6f5a5887ce64b0c27a34fada","Some Syria violence amounts to civil war-Red Cross","Some Syria violence qualifies as civil war -Red Cross",4.4
"77a6f30b7c1a610e4143888f2","Austrian found hoarding 56 stolen skulls in home museum","Austrian man charged after 56 human skulls are found at his home",4.4
"348038409677241213285fcf3","Fundimental difference, please?","Fundamental difference?",4.6
"785d7dc09e5b6e972b0435300","Syria rebels leave besieged Homs","Syrian rebels retreat from besieged Homs district",4.4
"a35a2d8f9bc14a29ce84b538d","A black and white dog is running through the field.","A black and white dog is running in the grass.",4.8
"e7fd6928a2e0885f6d5e3bec4","Edwards Acquitted on 1 Count, Mistrial on Others","Edwards found not guilty on one count; mistrial on others",4.6
"e8cbf945733a394ac6ce5dbb4","I hope everything is OK!","I hope everything is okay.",5
"5ed45992dbebde1b0ffbbb033","Eurozone jobless hits fresh record high","EU jobless hits fresh record",4.4
"24f20ffb5b505bf9aab791bc2","That triggered a 47-hour police standoff that inconvenienced thousands of commuters, as traffic backed up in Downtown Washington and northern Virginia.","His protest led to a 47-hour standoff with police that caused huge traffic jams in downtown Washington and northern Virginia.",4
"e687db7cd4dd81897ca192555","syria denies having an undeclared nuclear program. ","syria denies the existence of an undeclared nuclear program.",5
"6af1e0b3112452bb05938be12","Silvio Berlusconi expelled from Italy's parliament","Silvio Berlusconi expelled from parliament",4
"dad36cffa68aa1537da529b07","A cow is eating grass.","A cow is eating hay.",3.8
"6511428c5125ee9816a79c1aa","Algeria hostage crisis ends; death toll unclear","Algeria hostage crisis ends in bloodbath",3.8
"63be56cf0edaff226c119a2f9","Butter is melting in a pan.","A man is melting butter in a pan.",3.6
